"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14821","Prueba de pagina de login","Prueba de login","Tue Apr 22 18:55:28 CST 2025","passed","Tue Apr 22 18:55:42 CST 2025","","","",""
"","28951","Ingresar a la pagina de telcel para crear una cuenta","Crear una cuenta Mitelcel","Thu May 08 13:15:55 CST 2025","broken","Thu May 08 13:16:24 CST 2025","","","",""
"","31201","Ingresar con cuenta activa a una pagina de cursos","Ingresar a cursos de capacitacion","Thu May 08 13:18:28 CST 2025","passed","Thu May 08 13:19:00 CST 2025","","","",""
"","22581","Ingresar a la pagina para chatear con el bot","Crear un Mock al chatbot","Mon May 05 20:59:07 CST 2025","passed","Mon May 05 20:59:29 CST 2025","","","",""
"","34621","Ingresar a la pagina para crear una cuenta","Crear una cuenta nueva","Tue May 06 20:21:06 CST 2025","broken","Tue May 06 20:21:40 CST 2025","","","",""
"","31267","Ingresar a la pagina para crear una cuenta","Crear una cuenta nueva","Thu May 01 20:12:49 CST 2025","broken","Thu May 01 20:13:21 CST 2025","","","",""
"","9168","Realizar mock de pagina principal","Prueba de Mocks con VS Code","Mon May 05 20:12:58 CST 2025","passed","Mon May 05 20:13:07 CST 2025","","","",""
"","18441","Ingresar a la pagina de refacciones para crear una cuenta","Crear una cuenta refaccionaria","Wed May 07 19:57:25 CST 2025","passed","Wed May 07 19:57:44 CST 2025","","","",""
"","25151","Ingresar a una pagina para crear una cuenta de limpieza","Crear una cuenta para articulos de limpieza","Thu May 08 16:06:33 CST 2025","passed","Thu May 08 16:06:58 CST 2025","","","",""
"","82369","Realizar la busqueda de canciones de Charles Ans","Buscar musica en youtube","Tue Apr 22 19:24:40 CST 2025","passed","Tue Apr 22 19:26:03 CST 2025","","","",""
